"ID","Nome","Indirizzo","Delivery","Prenotazione online","Tipo cucina","Prezzo","Descrizione","Latitudine","Longitudine"
"157","I Castagni","via Ottobiano 8/20, Vigevano, 27029, Italy","False","False","Classic Cuisine","€€€","Situated in the countryside outside Vigevano, this rustic country house with a portico has the feel of a private villa thanks to its antique furniture and paintings by local artists on the walls. For more than 30 years, Enrico Gerli, together with his wife, who is charge of the front of house, has run this restaurant with dedication and professionalism, creating classic-modern cuisine which showcases the culinary traditions of Lombardy alongside a few fish-based dishes. Our inspector particularly recommends the black plin ravioli filled with peas and served with a white cuttlefish and mussel sauce. A wine cellar home to around 600 labels from around the world adds to the appeal.","45.2927681","8.8577576"
"158","President","piazza Schettini 12/13, Pompei, 80045, Italy","True","True","Mediterranean Cuisine","€€€","The menu at this restaurant features traditional dishes from Campania with updated twists, some of which (such as the “sigilinium” bread) even date back to Ancient Roman times. The cuisine, which is always delicious and beautifully presented, is showcased on various tasting menus from which individual dishes can also be chosen à la carte style and swapped from one menu to another. Although we chose to order fish (we particularly enjoyed the “Mediterraneo da scoprire” grouper dish), there is also a vegetable-based option. The front of house is overseen by the chef’s friendly and efficient wife, who is happy to offer wine recommendations and willing to open bottles of finer wines even if you only want one glass.","40.74731","14.49951"
"159","Cracco in Galleria","Galleria Vittorio Emanuele II, Milan, 20121, Italy","True","False","Modern Cuisine","€€€€","The Galleria Vittorio Emanuele II is one of the most iconic sights in Milan and as such it is apt that it is home to this star of Italian cuisine, whose professional career is one of the most impressive in Italy with influences that include the culinary master Alain Ducasse and wine expert Giorgio Pinchiorri. Together with owner Carlo, resident chef Luca Sacchi creates top-quality cuisine with impeccable technique. He showcases his dishes on a carefully composed tasting menu and an à la carte, with references to contemporary Italian cuisine in dishes such as the open ravioli and reinterpretations of classic favourites, such as vitello alla Milanese (breaded veal cutlet). The wine list is an experience in itself, offering one of the best and most comprehensive selections of French wines in Italy, as well as an excellent choice of wines by the glass. Guests also have the opportunity to taste wines from the organic Vistamare estate, owned by the chef and situated in the Romagna hills. The most popular tables are those by the window with views of the Octagonal building – these should be booked well in advance.","45.46535","9.189977"
"160","Alpenroyal Gourmet","via Meisules 43, Selva di Val Gardena, 39048, Italy","False","True","Creative","€€€€","This is the gourmet restaurant at the hotel of the same name, one of the most luxurious in the Val Gardena. The elegant, contemporary dining room has an almost minimalist feel, with a softly lit ambience that would give the impression of a private home were it not for the huge garden (snow-covered in winter) visible through its windows. Although originally from Puglia, chef Mario Porcelli has been working in the Dolomites for many years and is equally at home with local dishes as he is with recipes from his native region. In both cases, his dishes are modern and beautifully presented in a manner that leaves nothing to chance.","46.5588796","11.7463421"
"161","Zum Löwen","via Tirolo 25, Tisens, 39010, Italy","False","False","Classic Cuisine","€€€","A charming restaurant housed in a skilfully restored old farm, where everything from the hay barn to the old stalls has been refurbished and enhanced, so that traditional old features from the exterior can be seen in the dining room alongside more modern additions. The cuisine here is in the capable hands of owner Anna Matscher, who creates gourmet dishes from the Alto Adige which can by now be described as “classics”. The ingredients and the cooking methods used add a certain level of tradition to proceedings, although this is hardly a flaw, especially given the precise preparation involved. Examples include the traditional roast goat kid cooked with extra-virgin olive oil and aromatic herbs and served with roast potatoes and a second seasonal vegetable, along with its own delicious jus. Luis oversees the front of house and is always available to offer recommendations for the best wine pairings.","46.5635107","11.1694582"
"162","Schöneck","via Schloss Schöneck 11, Molini, 39030, Italy","False","False","Regional Cuisine","€€€","With over 30 years’ experience behind them, the Baumgartner brothers’ restaurant is an excellent choice for classic specialities from the Alto Adige, offering a menu that focuses on regional dishes yet also includes a few fish-based options. The most important feature here is that all specialities are made from top-quality ingredients (often locally sourced), prepared by chef Karl with an expertise that ignores modern trends and passing fashions. Meals are served in rooms that are elegantly decorated with local wood, including a beautiful lounge space with a piano in front of the bar, Stube-style dining rooms and a veranda, while in summer the cool, shady terrace is particularly appealing. Last but not least, the excellent wine list is as impressive as the cuisine.","46.8186079","11.8482868"
"163","Gellivs","calle Pretoria 6, Oderzo, 31046, Italy","True","True","Modern Cuisine","€€€","Gellius boasts a unique and atmospheric setting within the Antica Opitergium museum, surrounded by archaeological remains that tell the story of the town from the beginning of the Roman period. It’s just a short hop from this historic past to the present day, where chef Alessandro Breda moves away from the culinary traditions of the region to create imaginative dishes using ingredients from his surrounding area and the Adriatic Sea. If you’re looking for a state-of-the-art cocktail or a glass of good wine, make your way to the Lounge Bar, which looks out over Piazza Grande.","45.7828798","12.4946107"
"164","Cannavacciuolo Bistrot","via Umberto Cosmo 6, Turin, 10131, Italy","True","True","Creative","€€€€","Situated near the Gran Madre church in Borgo Po, this restaurant is the Turin home of the three-Michelin-starred chef from Villa Crespi Cannavacciuolo. Here, in a succession of small dining rooms decorated in elegant, modern style, Gabriele Bertoli serves contemporary-style cuisine influenced by culinary traditions from all over Italy, with a natural focus on his native Campania, to which he adds his own delightful personalised touches.","45.0627906","7.7009861"
"165","Abocar Due Cucine","Via Carlo Farini 13, Rimini, 47921, Italy","True","False","Creative","€€€","Abocar (the word is Spanish for “to get closer”) demonstrates the Argentine origins of this restaurant’s young chef , who aims to offer his guests reasonably priced gourmet cuisine. Seasonal produce and South American influences are to the fore here, resulting in excellent cuisine focused around just a handful of recipes.The dishes are creative, yet with their roots in the classic foundations in which the young chef was trained in Michelin-starred restaurants in France, Spain and Italy – it was during this apprenticeship that he met his partner, Camilla, who assists him in the kitchen as well as overseeing the front of house. This welcoming restaurant hidden among the streets of old Rimini boasts a charming, youthful and unique atmosphere which is far from stuffy and which makes it an excellent choice.","44.0626895","12.5663487"
"166","La Pineta","via dei Cavalleggeri Nord 27, Marina di Bibbona, 57020, Italy","False","True","Seafood","€€€","By car you drive through a pine wood and practically reach the water's edge, facing a horizon of beach, sea and waves, to the left you’ll notice a small low house that almost looks like an ordinary beach establishment: actually, it is the historical fish restaurant of the Zazzeri family, Daniele in the kitchen and Andrea in the dining room. Always true to themselves, without any need to look for sudden modern changes of direction, the simplicity of the cuisine, which matches the vintage style of the rooms, is their absolute direction, both in the pairings and in the ultra-classic cooking techniques; as long as the quality of the fish (mostly local) and the comforting quality of the end result remain unchanged, it will always be a pleasure to recommend this place above the fashions.","43.2456729","10.52825"
"167","Indaco","piazza Santa Restituta 1, Lacco Ameno, 80076, Italy","True","False","Creative","€€€€","Although the sun sets behind you at this restaurant, the sky takes on beautiful indigo hues at dusk (hence the name Indaco), so it’s well worth getting here for sunset. Overlooking a small bay at the Regina Isabella hotel, the restaurant boasts sweeping views of Lacco Ameno, Casamicciola, the island of Procida, Vesuvius and Bacoli, all of which unfold in front of your eyes with the sea like a bay enclosed by the islands – an unforgettable sight! At the helm in the kitchen, Pasquale Palamaro from Ischia serves elaborate and creative dishes inspired by his childhood memories, all showcased on two tasting menus (fish takes centre stage although a few meat dishes also feature) from which dishes can also be chosen individually à la carte style. The wine is of the highest quality, both in terms of the extensive selection (more than 1 000 labels) and the recommendations provided by the enthusiastic sommelier.","40.75377","13.88421"
"168","Oro Restaurant","isola della Giudecca 10, Venice, 30133, Italy","False","False","Italian Contemporary","€€€€","Housed within the Hotel Cipriani, one of Venice’s legendary hotels which is pleasantly located in a tranquil corner of Giudecca island, the round-shaped dining room at the Oro Restaurant boasts views of the lagoon and the lido. Here, chef Vania Ghedini from Ferrara serves an array of Moroccan dishes which bear witness to her professional past. Her Laguna dish is particularly striking thanks to its skilfully mixed flavours and delicate textures. The tasting menu is equally impressive and offers a good introduction to the chef’s cuisine, including dishes from the lagoon alongside a few light vegetarian options. To finish, we recommend the cherry tart (an absolute must for anyone who enjoys fruit desserts) flavoured with a dash of balsamic vinegar.","45.4271","12.3412"
"169","Accursio","via Grimaldi 41, Modica, 97015, Italy","True","False","Contemporary","€€€€","Situated near the Duomo di San Pietro and the central Corso Umberto, this small, delightful restaurant occupies a historic palazzo and boasts a simple yet elegant decor including attractive floor tiles. Accursio offers three tasting menus with dishes also available à la carte. The restaurant’s symbol (an olive tree inside a boat) gives a good indication of the culinary focus here, namely a creative journey through Sicily’s cuisine on a menu that features both meat and fish options.","36.8599639","14.7606251"
"170","Sadler","via dell'Annunciata 14, Milan, 20121, Italy","False","True","Italian","€€€€","Housed in the Casa Baglioni hotel, a beautiful Art Nouveau building dating from 1913, this restaurant has a contemporary feel with an elegant dining room featuring colourful armchairs. The cuisine is precise and distinctive, with a harmonious balance of traditional and innovative flavours thanks to the top-quality ingredients used. The wine list is also top-notch, featuring excellent Italian and international wines, including some rare and exclusive labels. An interesting business lunch is available at midday, while the Rooftop Bar on the seventh floor boasts 360° views of Milan and serves a selection of aperitifs designed especially by the chefs (open daily from 6pm-1am).","45.4726277","9.1926191"
"171","Ca' Vittoria","via Roma 14, Tigliole, 14016, Italy","True","False","Piedmontese","€€€","In the heart of this picture-postcard village, the Musso family has been welcoming guests with typical Piedmontese hospitality and professionalism for generations and delighting them with their interesting cuisine. Grandmother Gemma and mother Sandra always focused on regional traditions in their cooking; today, Massimiliano continues the theme while adding a touch of creativity and an international influence to his Piedmontese dishes. Examples include his innovative and original risotto cooked in onion water with eel and vanilla, and delicious Cherasco snails served with coconut cream, grilled home-grown leeks and fermented cabbage (the sweet flavour of the coconut provides a striking contrast to the acidity of the cabbage). There are just two tasting menus, from which dishes can also be chosen à la carte, plus a few classic favourites seasoned with white truffles (in season). The wine list features renowned Piedmontese labels alongside an array of younger wines, as well as a few bottles of Barolo from the 1970s.","44.8866139","8.075849"
"172","Iyo","via Piero della Francesca 74, Milan, 20154, Italy","True","False","Japanese","€€€€","After significant refurbishment, this restaurant now has a completely new look – its black marble has been replaced by a more contemporary colour scheme that gives it a more international feel, while still maintaining a minimalism that is typically Japanese. At the entrance, guests are greeted by a small lounge and a long open-view kitchen where numerous sushi chefs can be seen at work, which then leads to a dining room decorated in soft, relaxing colours and furnished with striking round tables made from Patagonian marble. The extensive à la carte features all the classic dishes you would expect of a Japanese restaurant, including well-known versions of sushi, sashimi and tempura, alongside more creative fusion recipes which combine influences from Japan, Europe and elsewhere. There’s also an excellent selection of around 500 wines, including the option of ordering wine by the glass.","45.4866231","9.1595273"
"173","Sedicesimo Secolo","via Gerolanuova 4, Pudiano, 25034, Italy","False","False","Creative","€€€","Taking its name from the period in which it was built (the 16C), this restaurant boasts a modern decor which adds a light touch to the dining room with its paved floors, original ceilings and fireplaces. The imaginative menu features decidedly modern and creative dishes with an emphasis on meat, although a few fish options and regional specialities are also available. There’s plenty of choice for all tastes here, with carefully designed dishes prepared by a skilful chef who is well versed in the basics of culinary chemistry and who has a fine palate with a light touch. There’s an interesting selection of different breads, while the choice of coffees includes some rare blends.","45.3985234","10.0093247"
"174","Josè Restaurant - Tenuta Villa Guerra","via Nazionale 414, Torre del Greco, 80059, Italy","True","True","Campanian","€€€","Situated in one of the extraordinary villas on Herculaneum’s “Golden Mile”, this restaurant boasts an elegant dining room within this 18C building, as well as a room overlooking the villa gardens where a simpler menu featuring grilled dishes and pizzas is served in summer. At the helm, chef Alberto Annarumma from Campania reinterprets ingredients and traditional recipes from the region, as well as creating dishes from other regions of Italy and even further afield. The impressive wine cellar is home to around a thousand labels, with an impressive wine selection from Campania and the rest of the world.","40.7739059","14.3988055"
"175","Vecchia Malcesine","via Pisort 6, Malcesine, 37018, Italy","True","True","Country cooking","€€€€","Situated in a small alleyway in a tranquil spot above the historic centre of Malcesine, this restaurant opens on to a surprising garden planted with olive trees and boasting fine views of much of Lake Garda. The restaurant is run by chef Leandro Luppi, originally from the Alto Adige, who has been creating superb cuisine in this region for over 20 years and is renowned for his skilful and imaginative dishes. He now showcases his creative, personalised recipes on two tasting menus: “Qcina 24” features his latest creations, while “Our Classic” is dedicated to his iconic specialities. Dishes can also be chosen individually à la carte style.","45.7624261","10.8079125"
"176","Al Metrò","via Magellano 35, San Salvo Marina, 66050, Italy","False","False","Modern Cuisine","€€€","Housed in what was once the family pastry shop, this gourmet restaurant run by the Fossaceca brothers is minimalist, contemporary and almost neutral in style so that nothing detracts the attention from Nicola’s delicious cuisine (the outdoor space in a small square has a livelier ambience). The chef uses modern techniques to create carefully thought-out recipes that showcase the flavours of his mainly local ingredients to the full (including some of the best fish from the Adriatic) without fuss or unnecessary frills. The naturally leavened bread is made from Abruzzo flour (Senatore Cappelli and spelt) and is always excellent, as are the superb breadsticks made from Solina mountain corn. The restaurant has recently added an incredible coffee menu that includes top-quality coffees from across the globe.","42.0681141","14.7751494"
"177","D.One Restaurant","via del Borgo 1, Montepagano, 64026, Italy","False","True","Modern Cuisine","€€€","The location of this restaurant is certainly unique, with its different spaces (including small dining rooms adorned with modern works of art) for different parts of your meal – almost like a small village within a village. Here, chef Davide Pezzuto blends simplicity with creative experimentation, focusing on the region and its culinary traditions while also including the occasional influence from his native Puglia. He is ably supported front of house by the restaurant owner, who regales guests with interesting stories about the small town’s past. At the end of dinner, guests can order an excellent Turkish coffee, which is made according to an original recipe borrowed from the museum, and which highlights the Saracen dominance of the region around a thousand years ago.","42.6772065","13.9897625"
"178","Il Convivio Troiani","vicolo dei Soldati 31, Rome, 00186, Italy","True","False","Contemporary","€€€€","A long-established restaurant that was opened in the early 1990s by three brothers from the Marche: Angelo in the kitchen, and Giuseppe and Massimo front of house. Since then, this restaurant has become one of Rome’s leading restaurants thanks to its personalised cuisine with influences from Lazio and elsewhere in Italy, with more traditional dishes served alongside recipes reinterpreted with imagination, flair and the occasional bold twist. The excellent wine list boasts around 3 600 labels (wines and spirits), including fine vintages and a good selection of wines by the glass.","41.9015408","12.4727932"
"179","Amistà","via Cedrare 78, Corrubbio, 37029, Italy","True","True","Italian Contemporary","€€€€","Situated within the charming Byblos Art Hotel, this restaurant is similar in style to the rest of the villa with its colourful and harmonious blend of the old and the new, all of which is inspired by a real love of art. Echoing the decor, the cuisine served here plays with a combination of the traditional and the modern. Executive chef Mattia Bianchi adds his own creative touches and interpretations to traditional recipes on three tasting menus, one of which is completely vegan. Dishes can also be chosen à la carte style. The interesting wine list features more than 1 500 labels, including some rare options.","45.48968","10.899484"
"180","Il Centro","via Umberto I 5, Priocca, 12040, Italy","False","False","Piedmontese","€€€","There’s a timeless feel to this restaurant, which is run by the Cordero family and serves some of the best Piedmontese cuisine in the region. Heading the team here are Elide in the kitchen and husband Enrico and talented son Giampiero front of house (the latter a real wine connoisseur who looks after the ever-expanding wine cellar), all of whom continue to maintain the high standards set by Giampiero’s grandparents when they opened this restaurant back in 1956. With skill and dedication, they serve traditional cuisine that is full of substance and flavour, which you could happily eat every day without ever getting bored, including the restaurant’s legendary peppers in a sweet and sour sauce, “agnolotti del plin” and finanziera stew, plus a few lighter fish and seafood dishes added in summer. Every year, after the restaurant re-opens in January and up to spring, the menu focuses on the legendary “fritto misto” made up of 12 courses of sweet and savoury dishes (booking a table for this is becoming more and more difficult!). Accommodation is available in the elegant Dimora Cordero just a stone’s throw from the restaurant.","44.7905049","8.0624786"
"181","La Preséf","via Lungo Adda 12, Mantello, 23016, Italy","False","False","Creative","€€€€","Overlooking an internal garden, this welcoming Valtellina-style Stube restaurant decorated in sweet-scented cembra pinewood is the perfect setting in which to enjoy local specialities and vegetables grown in the restaurant’s own garden. Zero-mile ingredients (the restaurant takes its name from the word for “manger” in local dialect and also boasts its own dairy) and visual experimentation are the distinctive features of the regional cuisine served here, with fish from the lake, game, DOP Bitto cheese and even local truffles all appearing on the menu. There are two tasting menus: a creative 7-course menu and a more traditional 4-course option. Comfortable, welcoming guestrooms and a modern spa complete the picture.","46.1505628","9.4898006"
"182","La Credenza","via Cavour 22, San Maurizio Canavese, 10077, Italy","True","False","Creative","€€€","Three dining rooms with a modern atmosphere–one of which overlooking a small garden where in the summer there is room for just three tables, so book early if you want to eat outdoors, weather permitting–and a cuisine that starts from a Piedmont base to then wander off along more creative, sometimes even orientalizing paths. A remarkable wine cellar, approximately 1700 labels illustrated in two volumes in addition to which there is an extensive choice by the glass.","45.217537","7.6319706"
"183","La Tortuga","via XXIV Maggio 5, Gargnano, 25084, Italy","False","False","Classic Cuisine","€€€€","Although the name of this restaurant may conjure up images of the Caribbean Sea and its beaches, La Tortuga is actually located on the square overlooking the harbour right in the centre of Gargnano – its owners, however, are full of the spirit of the eponymous Caribbean island! This small, charming gem of a restaurant is run by female staff in its kitchen and front of house. The cuisine here takes no notice of passing trends, instead focusing on simple and precise cooking methods, so that the flavour of the ingredients (especially the seafood and fish from the lake) really shines through. The wine list is extensive, carefully put together and skilfully explained, with a focus on international wines. La Tortuga has been the proud holder of a Michelin star for over 40 years!","45.6887411","10.6652261"
"184","Bracali","via di Perolla 2, Ghirlanda, 58020, Italy","True","False","Italian Contemporary","€€€€","The small, fairly ordinary village of Ghirlanda in the heart of the Colline Metallifere is home to an unexpectedly elegant restaurant, where chef Francesco creates highly original and personalised cuisine. His focus is mainly on meat dishes, which are full of contrasting yet harmoniously balanced flavours (vegetable-meat, fatty-acidic, sweet-sour, soft-crunchy etc). Francesco’s brother Luca takes care of the wine and front of house with skill and dedication; the wine list is extensive and well structured, subdivided into two separate sections (Italy and the rest of the world). Bracali has established a partnership with the local diocese, including helping with the social integration of refugees and managing food waste. In the dining room, works of art are exhibited on a rotation basis and listed in a catalogue.","43.0584193","10.8995225"
"185","Il Gallo Cedrone","via Cima Tosa 80, Madonna di Campiglio, 38086, Italy","True","False","Creative","€€€","With its classic Alpine appeal and wood and stone decor, Il Gallo Cedrone at the Bertelli hotel is still at the top of its game! With ever-growing confidence, Sabino Fortunato continues to celebrate the mountain in his cuisine – through the use of game, freshwater fish, cooking with hay and cheese etc – as well as remaining open to influences from the Mediterranean and elsewhere in Italy. His dishes are always well structured and prepared from many different ingredients, which he skilfully combines to produce the best flavours. The inspiration for his “History of venison and ChatGPT in the Parco dello Stelvio with pomegranate, celery, pepper and juniper” dish is the region’s deer management plan and responsible venison consumption. The excellent wine cellar is home to over 800 different labels carefully selected by owner Marco Masè alongside long-established sommelier Giuseppe Greco, plus a wide array of gin and tonics.","46.2351343","10.8242148"
"186","Butterfly","SS 12 del Brennero 192, Marlia, 55012, Italy","False","False","Italian","€€€€","The 19C country house that is home to this charming restaurant is surrounded by its own garden, which can be enjoyed throughout the year thanks to its new glass veranda-style dining room – the veranda opens out into the fresh air in summer and is closed and heated in winter, yet still offers lovely views. The successful partnership of father and son (Fabrizio and Andrea Girasoli) in the kitchen results in an extensive menu featuring meat and fish dishes alike. The culinary techniques in evidence are equally at ease in classic-style dishes (superb langoustine from the Tyrrhenian sea freshly cooked on a lava stone and served with a frothy cocktail sauce, vegetable flowers and fruit) and more creative fare (such as the cocoa cigar stuffed with foie gras, apple and hazelnut – a dish dedicated to Puccini). The restaurant is run in a way that manages to be friendly yet at the same time incredibly professional, while the front of house and service is expertly overseen by the chef’s wife Mariella.","43.894723","10.5364035"
"187","Osteria della Brughiera","via Brughiera 49, Villa d'Almè, 24018, Italy","True","True","Italian Contemporary","€€€€","Situated amid the foothills outside Bergamo, this elegant country house accessed via a garden boasts rustic features such as parquet flooring, exposed beams and an open fireplace set amid an elegant backdrop that makes it ideal for a special occasion or a romantic meal. The extensive à la carte includes traditional dishes from around Italy alongside more creative fare, with an equal balance of meat and fish options. You’ll also find traditional specialities such as cured meats featuring alongside more sophisticated ingredients such as lobster, caviar and foie gras.","45.7393224","9.626508"
"188","Antonello Colonna Labico","via di Valle Fredda 52, Labico, 00030, Italy","False","False","Italian Contemporary","€€€€","Situated in a scenically impressive setting nestling in the Vallefredda countryside and housed in an original, avant-garde building, this sophisticated restaurant serves carefully balanced and elegant dishes that underline its proximity to Rome and its close connection with Lazio’s rural traditions. Here, nature and modernity go hand in hand: the restaurant is home to large, almost museum-like rooms adorned with works of art and surrounded by parkland. The dishes, on the other hand, are classic in style, in deliberate contrast to the striking, contemporary backdrop in which they are served, and are inspired by many of Italy’s different culinary traditions. We highly recommended booking a table on the lawn under the mature chestnut trees in summer.","41.78292","12.873689"
"189","Oasis - Sapori Antichi","via Provinciale 8/10, Vallesaccarda, 83050, Italy","True","True","Campanian","€€€","Run by the Fischetti family, this gastronomic oasis has been a stronghold for fine cuisine and regional flavours for 35 years now. The restaurant was opened in 1988, a year that is celebrated on the first page of the wine list with an extensive selection of fine labels from that year and also in the ricotta ravioli with walnut and seared garlic created by the restaurant’s founder – a dish still on the menu today. Now, as in the past, it is the women of the family who are at the helm in the kitchen: Michelina Fischetti and her granddaughter Serena Falco continue to conjure up delicious cuisine full of flavour which is prepared using carefully chosen ingredients (mostly organic) from the region with a focus on the passing seasons. The intention here is to create recipes that are open to new food trends and influences, while remaining faithful to a simple style of cuisine that is clean, ethical and inspired by traditional dishes from bygone days. Front of house, the friendly brothers of the family look after guests and oversee the courteous and attentive serving staff.","41.0633639","15.251974"
"190","Venissa","fondamenta Santa Caterina 3, Mazzorbo, 30142, Italy","False","True","Country cooking","€€€€","Far away from the tourist hordes, Venissa is situated in a small walled vineyard dating back to the Middle Ages – complete with 14C belltower – on the small island of Mazzorbo, a magical setting which is perfect for a short stroll before settling down to eat. In addition to the Dorona di Venezia vineyard, the restaurant also has a kitchen garden which provides most of its vegetables, including unusual varieties such as “castraure”, a type of local artichoke. Once out of the garden, you come to a small wooden bridge which links Mazzorbo to neighbouring Burano, where you can complete your visit to the lagoon by exploring the lacemakers’ shops and admiring the colourful local houses. The main focus here, however, is the cuisine – and excellent cuisine it is too! Chefs Chiara Pavan and Francesco Brutto describe their dishes as “ambientale” (environmental) because of the close connection between the lagoon and the Upper Adriatic: the menu features plenty of fish and vegetables and almost no meat. Guests choose their number of courses and the dishes come as a surprise, accompanied by organic wine pairings. At the Osteria Contemporanea next door the dishes are simpler but still full of flavour.","45.4886784","12.4111088"
"191","Atman","Via IV Novembre 20, Vinci, 50059, Italy","False","False","Creative","€€€","The village where the famous Leonardo was born (we highly recommend a visit to the museum dedicated to the artist) is now home to this renowned restaurant right in the village centre. Atman offers just one tasting menu which changes constantly in line with the seasons and market availability, in order to allow chef Marco Cahssai to express his imaginative talents to the full. Among the creations on the interesting new menu, don’t miss the spaghetti with five types of tomato, which demonstrates a play of techniques and is full of flavour – the dish is served cold in order to allow the aromatic seasoning to shine through. Also worth sampling is the glazed pigeon served with plums which emphasise its succulent texture. Make sure you ask for wine-pairing recommendations – the often intense contrasts of the dishes require careful attention to ensure the right balance.","43.7862727","10.9260458"
"192","Marco Martini Restaurant","viale Aventino 121, Rome, 00153, Italy","True","True","Creative","€€€","Situated on the first floor of a beautiful period palazzo, this restaurant recalls the style of a winter garden, where natural daylight, greenery and pretty floor tiles all contribute to the attractive setting. Here, Marco Martini creates imaginative cuisine (with occasionally surprising combinations) that nonetheless remains influenced by the gastronomic traditions of Rome, not so much in the recipes used but in the chef’s love for intense flavours that leave the palate completely satisfied.","41.880543","12.484601"
"193","Suinsom","strada Puez 12, Selva di Val Gardena, 39048, Italy","False","True","Italian Contemporary","€€€€","The two small pale wood paneled stube are the stage for a gourmet cuisine with a Mediterranean touch and more besides, the charcoal-grilled eel is a striking example, besides being delicious. Among the excellent meats, we recommend the roe deer venison, tender with a rich flavor thanks to its preparation that includes mango, while the Tuscan chef draws on his origins for some first courses, such as pici with lamb ragout and cuttlefish tartar... a truly interesting suggestion! The good wine selection includes various and even international productions on a wine list that is well divided by vine variety.","46.5565821","11.7597819"
"194","Casamatta","contrada Scrasciosa, Manduria, 74024, Italy","False","False","Modern Cuisine","€€€€","Just a few kilometres outside Manduria, the capital of primitive wine, this restaurant is part of the Vinilia Wine Resort, which occupies an imposing early-20C castle surrounded by splendid grounds planted with mature olive trees. The restaurant is the jewel in the crown of this fine hotel, with its bright, airy dining room and large windows offering views of its outdoor dining space (highly recommended in fine weather). The furnishings are modern in design and the cleverly arranged lighting adds to the charm of the setting. With plenty of experience at leading restaurants behind him, chef Pietro Penna has returned home to his native region, to which he pays tribute in his cuisine. He makes full use of locally sourced produce, often using fruit and vegetables grown in the restaurant’s own kitchen garden in his modern and imaginative dishes. Three tasting menus are available, one of which is entirely vegetarian.","40.417763","17.599371"
"195","Malga Panna","strada de Sort 64, località Sorte, Moena, 38035, Italy","False","False","Regional Cuisine","€€€","The story of the Donei family is intertwined with the history of the Alpine farm (“malga”) that was transformed into a restaurant in the 1950s when the parents of the current owner-chef, Paolo, used to prepare delicious dishes for the first holidaymakers to the region. The “malga” is also the symbol of what is now one of the best restaurants in the Fassa valley. All that remains of the “malga” today is its name and the panoramic location above the village and the valley, views of which can be enjoyed from the new veranda dining room decorated in minimalist Alpine style with floor-to-ceiling glass windows. The contemporary, regionally inspired cuisine served here is of high quality, prepared by the skilful owner who is a naturally talented chef. There’s also a tasting menu, which combines Trentino influences with Mediterranean touches. In a nod to the restaurant’s location (on the edge of the woods) and its history, simpler options are also available.","46.376804","11.643984"
"196","Bistrot","viale Franceschi 14, Forte dei Marmi, 55042, Italy","True","True","Seafood","€€€€","Despite its name, this is in fact a gourmet restaurant and not a simple bistro. It is run by the Vaiani, a family of professional restaurateurs and hoteliers who have entrusted the kitchen here to talented chef Andrea Mattei. This partnership has strengthened the style of Bistrot, which is somewhere between traditional and modern in feel and where the quality of the ingredients has always been of utmost importance. The restaurant is particularly renowned for its excellent fish, most of which comes from the Tyrrhenian sea, while it also boasts two wood-fired ovens in which the chef bakes different, truly delicious breads and cooks some of his dishes. The wine selection is a further attraction – the beautiful wine cellar is home to just under 2 000 different labels, with the choice of champagnes and Burgundy wines meriting special mention.","43.9553929","10.1700005"
"197","Per Me Giulio Terrinoni","vicolo del Malpasso 9, Rome, 00186, Italy","True","False","Italian","€€€€","Situated in an alleyway in the historic centre of Rome (a side street off the famous Via Giulia), this restaurant boasts the added attraction of an original and imaginative chef who demonstrates his culinary skills in preparing meat and fish with fine technique and creativity. Sustainability is key here, with a focus on top-quality, carefully chosen ingredients sourced from small-scale local producers, as well as a “zero-waste” approach. In addition to the à la carte, guests can choose from three tasting menus: “Primi Passi” (five of the chef’s iconic dishes), “Testa, Mani, Cuore” (ten dishes with a personal twist), and “Think Green"""" (five seasonal vegetarian dishes). In summer, be sure to book ahead if you’d like to dine at one of the few tables in the charming outdoor space.","41.8973035","12.46747"
"198","Zass","via Laurito 2, Positano, 84017, Italy","False","True","Mediterranean Cuisine","€€€€","The legendary San Pietro is one of the jewels of the Amalfi Coast as well as one of the most famous hotels in the world. Zass, its Michelin-starred restaurant, is extremely popular with visitors (booking in advance is highly recommended) thanks to skilful Belgian chef Alois Vanlangenaeker, who has now been here for over 20 years. His cuisine showcases all the colours and flavours of the Mediterranean with harmony and elegance, focusing mainly on the traditions of Campania, especially in appetisers such as the small bites of lightly baked Pizza Margherita and in creative dishes elsewhere on the menu. Many of his ingredients are sourced from the hotel’s kitchen garden, which he uses to create dishes based on meat and, especially, fish, including his signature John Dory (flavoured with lemon and accompanied by mashed potatoes with bufala yoghurt, seasonal vegetables and his famous Champagne and truffle sauce), and other fish such as mullet, sea bass, scampi and squid. Excellent service, a pianist providing background music, and an idyllic terrace boasting stunning views all play their part in making this a truly memorable dining experience.","40.623268","14.5038074"
"199","Glass Hostaria","vicolo del Cinque 58, Rome, 00153, Italy","False","True","Creative","€€€€","In the heart of popular Trastevere with its many restaurants, Glass comes as a surprise, housed in what was once a coach-house (as the high ceilings still demonstrate) and now an elegant restaurant (if you want more privacy, there are a few tables set up on the mezzanine). Cristina Bowerman offers a choice of tasting menus (one of which is vegetarian) and a limited selection of à la carte dishes. Her cuisine is creative, with the occasional nod to the culinary traditions of Lazio. The excellent wine list also includes a choice of liqueurs and spirits.","41.890477","12.4691032"
